neg,neu,pos,compound,Comment_ID,Comments,Sentiment Category
0.0,0.928,0.072,0.3903,28,"I was happy with my 4 years-old S10+, but the new stuff the S23 Ultra brings (plus a little bit of old age and storage issues surfacing in the S10+) really made me go for the newer phone!",1
0.0,0.862,0.138,0.6124,29,Watching this on my Samsung S10 Plus I got almost 4 years ago. Still a gorgeous display. I used iPhone mini in the meantime and went back to the S10.,1
0.177,0.547,0.276,0.7003,30,"Great product and I love it.
Only huge No No is the C type earphones (no jack). 
The phone always goes crazy deciding between the charger or the earphones.",1
0.0,0.849,0.151,0.4926,31,This was way better then I was expecting! I might upgrade from 13 pro max to S23U just because I prefer Samsung,1
0.049,0.695,0.256,0.7227,32,"Every single year, their official introduction films always amaze me. Idk who comes up with these ideas but I applaud you ",1
0.03,0.851,0.119,0.9309,33,"I have an S8 since 2017. I waited and waited, and raised some money for a new phone. I am thinking at S23U, not sure though due to its sizes. It seems so big, but with all the new specs and camera upgrades I do think it is a good deal. I use my phone for social media, email and a lot of photos (nature mostly and family photos). My S8 battery started to show signs of getting old a few months ago. I thought of other brands as well, but I am a Samsung fan. I am thinking about S23U also because of its battery (which is bigger than the on on S23+). A lot of you mention S22U as being a good phone (no doubt about that), but I cannot say the price makes a huge difference between both of them, and taking into account the upgrades S23U has, I think it is worth it. Any suggestions?",1
0.0,0.725,0.275,0.4664,34,I haven't been this excited for a new phone in a while!,1
0.0,0.648,0.352,0.6532,35,"Watched on my S23 Ultra, so immersive! So pretty!",1
0.0,1.0,0.0,0.0,36,And I might upgrade from S22 Ultra to S23 Ultra just for that astrophotography.  ,0
0.0,0.645,0.355,0.941,37,Love love love! This will be my next new phone. Haven't felt the need to upgrade my S10+ since release... I think now is the time and I'm EXCITED!!!!,1
0.0,0.65,0.35,0.865,38,"The switch from Apple to Samsung S23 Ultra was absolutely worth it
The S23 Ultra is a true beast 
Great work, Samsung!!",1
0.0,0.828,0.172,0.3612,39,The editing is of next level to make s23 ultra feel like ultra,1
0.042,0.909,0.049,0.0516,40,This is my first time getting a flagship model since the existence of smartphone. I swear I gonna rewatch every S23 ultra videos on youtube once I get my phone next week ,0
0.0,0.658,0.342,0.6892,41,great stuff Samsung as always! doing my pre order now!,1
0.0,0.813,0.187,0.5994,42,As someone who has a S9 and loved taking photos on my phone. This is what I'll upgrade to,1
0.0,0.723,0.277,0.8252,43,"I think I can speak for everyone when I say, THIS WAS AN AMAZING, WELL EXECUTED VIDEO, showing us what’s new about our life companion!",1
0.092,0.759,0.149,0.9623,44,"my last Note was the Samsung Galaxy Note 20 Ultra 5G, but even then I had so many problems with the hardware and software, the biggest issue was the overheating of the Li-ion (Lithium ion) battery. I am really glad I switched to Xiaomi with their safer Li-po (Lithium polymer) battery, not only it charges much quicker, it is a safer battery technology and I don't experience any overheating of the device, also Li-po batteries can't explode;) Even the chipset Snapdragon 8+ Gen 1 is much faster than Snapdragon 8 Gen 2 on Galaxy phones because on Samsung it uses Samsung technology and on other phones it's TSMC technology which is way better and reliable! Samsung phones are copying Apple and are loosing features but not gaining and are only good and advertising. Not a 1 billion color display, not fast charging because of the Li-ion dangerous batteries, not the best camera, not the best chipset technology, not a charger in the box, not a case in the box. Li-po batteries are safer for the environment and is the way to safe our planet, not by removing the charger from the box, chargers can be recycled and create new charging bricks, not how Samsung is saying to go buying another package with a new charger and waste paper and trees, or as Samsung is saying to use your old charger which may be broken and with slower charging than your new Galaxy phone. The most important thing is using safer and environmental friendly battery technology which doesn't explode, doesn't heat up as much and can be charged faster! The phone that I am using is the Xiaomi 12S Ultra, and I am really happy with it!",1
0.062,0.938,0.0,-0.2732,45,"envious of the SD 8 gen 2, from my s22+. though the battery here is also very doable, can't imagine how stressfree it would be with the s23 series in terms of power backup",-1
0.048,0.895,0.057,0.4828,46,"The best way to shoot quality photos with the new Samsung Galaxy S32 Ultra is to use the 50MP mode and then scale down the size to 4000 x 3000 pixels (12MP, 4:3 aspect ratio) or crop the latter to 4000 x 2250 pixels (9MP, 16:9 ratio). This results into extremely detailed photos with small file size. I'm wondering, why the ""Samsung"" engineers were not smart enough to include those two options in the phone's camera app? I used to have S21 and did the same trick with its 64MP photos that I scaled down to incredibly natural looking 9MP ones with an aspect ratio of 16:9. The default 12MP photos of S23 Ultra are oversharpened and unnatural.",1
0.0,1.0,0.0,0.0,47,"The design is very similar to S22 Ultra, but I'm rooting for the camera upgrade",0
0.0,0.645,0.355,0.5106,48,Back to old school. Informative and fun ,1
0.074,0.694,0.232,0.904,49,"Seems great despite looking like iterative update. Anyway, one disappointed aspect is Samsung does not up the ante for Ultra Wide Angle Camera. Oppo able to fit same sensor as main sensor on Find X5 pro which have among the best ultra-wide camera (day and night). Wish Samsung put bigger and better sensor for Ultra-wide camera.",1
0.0,0.55,0.45,0.9022,50,"Definitely worth the buy. Best features are enhanced cameras, upgraded s-pen, exclusive exterior, longer lasting battery and efficient on screen experience.",1
0.0,0.805,0.195,0.476,51,"Dude I'm impressed by those front and rear cameras️‍️, I really want one i will start saving money but till then s24 ultra will be launched",1
0.0,0.631,0.369,0.6249,52,This newly masterpiece gonna rule over people's hearts. ️,1
0.092,0.751,0.157,0.2263,53,"Finally Samsung has shed some light on videography. Upto the S22 series, this was the only problem. Looks like they've solved it in it's predecessor",1
0.0,0.67,0.33,0.8131,54,"This is so awesome!! I've ordered my S23 Ultra, can't wait to get it!!",1
0.041,0.843,0.116,0.4753,55,Being an S22 Ultra user i thought there couldn't be any better phone and the S23 ultra will jst have some extra stuff and nothing more but these huge internal upgrades are making me want the s23 ultra now️,1
0.0,0.588,0.412,0.8807,56,"this comercial makes me want to buy it right now, i loved everything about it and i loved the phone as well.",1
0.0,0.632,0.368,0.7901,57,"Love this next level commercial, looks like we are in the future right now! ",1
0.0,1.0,0.0,0.0,58,Absolutely incredible introduction video,0
0.091,0.409,0.5,0.8748,59,"I'm just in love with Samsung wow, this introduction alone is so special",1
0.0,0.647,0.353,0.7964,60,I hope the astrophotography mood will come with an update on s22 ultra I love discovering space  ️,1
0.072,0.758,0.17,0.4981,61,Good thing they fixed this low light photo/video issue this was one of the reason I ditched S22 ultra. Definitely looking forward to upgrade from S10+ to S23 ultra.,1
0.0,1.0,0.0,0.0,62,Now it is called performance booster in every thing ️,0
0.0,0.732,0.268,0.5106,63,Now that's how you do an introduction film. Kudos Samsung,1
0.243,0.368,0.39,0.25,64,"As an Apple fan, this is honestly sick ",1
0.0,0.932,0.068,0.5346,65,"I just love how the sync or union everything with each other 

I have been using Samsung specially the Note ""Ultra"" line for more than 12 years.

They only need to make the charging time as fast as the chines phones.

I have the tab S8 Ultra, S22 Ultra, Smart watch4 and I'm thinking now for the Samsung Book Ultra but I can't afford the price now ",1
0.072,0.902,0.026,-0.4854,66,"I was not planning to move on Samsung after my Samsung S10 Plus (that was a bad experience with Samsung then I have purchased OnePlus 7Pro) but was planning for Samsung post launch of S22 ultra because of the design and waited for a year to price drop. 
And now Samsung S23 Ultra launched and with the corporate offer I got it at the same price of S22 Ultra.",-1
0.0,0.884,0.116,0.7717,67,It makes me think the S24 Ultra will be completely different. The fact they've basically kept the same design and just changed the camera quality and storage capacity makes me think hmmm what will the S24 Ultra look like? I'm keeping my S22 Ultra love it. Still have my S10+ and S20 Ultra,1
0.0,0.354,0.646,0.807,68,Very good design and awesome features.,1
0.0,0.885,0.115,0.6474,69,Already using S22 Ultra for year. But didn't notice much difference in S23 Ultra. Decided to keep for another year. May b next year Samsung will come with new much more better features and design.,1
0.0,1.0,0.0,0.0,70,"i have already ordered s23u in graphite colour, can't wait to get my hands on️",0
0.0,0.659,0.341,0.8516,71,this is by far the best introduction for a phone I've ever seen in my life really amazing Samsung ,1
0.0,0.705,0.295,0.8879,72,Watching this on my galaxy s23 ultra cream ! Came from a 21ultra this phone is literally outstanding !! The best flagship phone on the market in the entire world,1
0.0,0.783,0.217,0.3612,73,"Though not buying it,but this introduction put a smile on me ️",1
0.0,1.0,0.0,0.0,74,"I've been with Samsung since the Galaxy S6, which I still own. Just pre ordered mine. I'm upgrading from the S20 Plus 5G to S23 Galaxy Ultra.",0
0.0,0.609,0.391,0.5423,75,"This is not just an adso engaging, well done",1
0.0,0.649,0.351,0.8442,76,S-series smartphones are probably the best android phones in any segment all around the globe. Loved it.,1
0.0,1.0,0.0,0.0,77,"Got the deviyek few days ago , lovin it ️",0
0.0,0.508,0.492,0.4404,78,This was truly epic,1
0.0,0.755,0.245,0.0772,79,Now I want this even more... ,0
0.0,0.699,0.301,0.8225,80,"Its durability increase on every S generation, I'm using S20FE now and its still working like miracle (the last OS updates were game changer)",1
0.0,0.625,0.375,0.5574,81,"Fantastic technology advancement. 

Version 5 is the best-to-date. ",1
0.077,0.767,0.157,0.3612,82,Was waiting for samsung to release S23 for a long time n finally s23 is out n it's crazy man... Hope I can afford to buy my dream phone one day...,1
0.0,1.0,0.0,0.0,83,Just pre-booked in India. Should be getting delivered by 20 Feb. So long waiting to buy a S23,0
0.0,0.865,0.135,0.5538,84,"From fifth harmony to going solo, to letting us hear ""i'll be home for QUISMOIS"", to S23 ultra. Her influence is so different. Untouchable!!!",1
0.0,0.761,0.239,0.2225,85,Now I want this even more ..... !! ,1
0.0,0.711,0.289,0.7257,86,This is the best Samsung commercial in decades! Make me really want to get S23 ultra.Maybe i will,1
0.0,0.574,0.426,0.8922,87,I can never buy it but it was good to see the reviews. I love Samsung a lot.,1
0.152,0.586,0.262,0.7946,88,"I just got this phone today, this phone is an absolute beast!
Gaming experience, video, picture quality was amazing!! the preformance on games were great via the snapdragon processor! no lags or stuttering :)",1
0.0,0.545,0.455,0.3612,89,Just incredible like always ️,1
0.0,0.658,0.342,0.9099,90,Thank you very much Samsung Galaxy came with surprises beyond what we expected and I think we would like to thank all Samsung Galaxy family and employees who have been very successful ,1
0.0,0.709,0.291,0.6249,91,I have the s22 ultra for the past 8 months and it's awesome,1
0.0,0.732,0.268,0.659,92,"Looks so awesome  
Got the S22U, it's AMAZING...
I'll be back 4 the S24U ",1
0.0,0.437,0.563,0.8832,93,"refreshing to see video like this,, fun and informative! love it...",1
0.0,0.542,0.458,0.8568,94,This is the most beautiful ad I've ever seen. It's so fun ,1
0.0,0.833,0.167,0.25,95,Saving up to buy S20 ultra still.. S23 is a dream. ️️️,1
0.0,0.734,0.266,0.5848,96,"Eagerly waiting for this! Gonna be my first flagship phone.
Just waiting for it to be launched in India",1
0.0,1.0,0.0,0.0,97,Now that was epic ,0
0.0,0.271,0.729,0.9529,98,Excellent! Fantastic! What a beautiful phone ad! And a brilliant phone too!,1
0.0,0.708,0.292,0.7351,99,Thank you very much for the excellent and distinctive explanation. Is the device available for call recording?,1
0.0,1.0,0.0,0.0,100,Already preordered. Wanted to be among the first to get my hands on this one!,0
0.0,0.562,0.438,0.8786,101,"WOW! gave me chills in the end Makes my 'Note 20 Ultra' look like nothing...
Lol ",1
0.0,1.0,0.0,0.0,102,Watching this in my Galaxy Note 8. Would consider this year's release if I can get it cheaper. S22 Ultra last year has a New Year's promo reducing the retail price by around 17%. My phone is a bit slow now so I am aiming for a new Phone with S-Pen.,0
0.0,0.288,0.712,0.8981,103,"this commercial is AWESOME!!!
love it ",1
0.046,0.665,0.289,0.9601,104,"their putting a huge push on taking pictures and videos in the dark and stable videos and stuff thats great but im not big on the camera features at all like in general, but i am happy that the cooling vapor chamber is bigger and more efficent. but thats it, its gunna be a good phone but ill wait. happy with my s22 ultra.",1
0.0,0.646,0.354,0.2942,105,This is worth the hype!,1
0.0,0.667,0.333,0.6705,106,I think I'll put my iPhone aside to experience this beauty,1
0.0,0.488,0.512,0.6369,107,In love with this commercial ,1
0.0,0.691,0.309,0.8425,108,"Bruh, I expected a better official introduction video for the S23 Ultra. The Galaxy S21 and S22 Ultra introductions were so amazing!",1
0.0,0.238,0.762,0.7506,109,All ready loving it ,1
0.0,0.471,0.529,0.6696,110,I bought it and i love it!,1
0.0,0.568,0.432,0.5859,111,Those rings around lenses are amazing ,1
0.0,0.549,0.451,0.8122,112,"Love this commercial !, hope that i can have that S23 ultra",1
0.0,1.0,0.0,0.0,113,Literally goosebumps when she introduces a feature to him,0
0.0,0.488,0.512,0.6369,114,Best phone productivity hands down ,1
0.0,0.46,0.54,0.8945,115,Looks like an awesome phone with a cool hype video but I love my Z Flip 4 already,1
0.208,0.609,0.183,-0.0956,116,Ah yes. Another intro to the smartphone that I can't afford. Brilliant,0
0.18,0.703,0.117,-0.0415,117,"Pre-ordered mine in graphite. Upgrading from note 20 ultra. Little bit sad that micro SD card is no longer available, but glad that s-pen still made the cut.",0
0.126,0.517,0.356,0.6114,118,this is cute! hope battery  life has no issue on this one ,1
0.0,0.192,0.808,0.6369,119,Love it,1
0.0,0.846,0.154,0.8402,120,"I'm looking forward to this 100x zoom , space zoom or moon zoom whatever smasung advertised with this stuff. 30x zoom on the s21 plus I can snap pics perfectly of the moon it's amazing so I can't imagine what the s23 ultra with these new features can do.",1
0.0,0.872,0.128,0.3612,121,Thank you  SAMSUNG for being consumer oriented. You listen to us a lot that's why you deliver the best:),1
0.0,0.333,0.667,0.8402,122,Amazing I love to see Samsung unpackes ,1
0.0,0.629,0.371,0.8151,123,"Very nice trailer, well done Samsung! Still sticking to my note 9 that still going solid for God knows how long ",1
0.041,0.617,0.342,0.9524,124,"Wow I am amazed at what Samsung does every year with the s-series and especially the s23 ultra, for me there is no competitor to the Samsung, which is the strongest and the best in everything . Love your Samsung ️️️",1
0.0,1.0,0.0,0.0,125,Yessss and I am about to buy that tomorrow ,0
0.0,0.774,0.226,0.7297,126,Still have the Note 10 Plus and works well even when it is just Android 12. Though I am already thinking of upgrading. :D,1
0.0,0.833,0.167,0.4215,127,"I like this ad, now I know what I can use the features for. I'm using S21 and probably want to upgrade to S23",1
0.0,0.328,0.672,0.6239,128,This is amazing! ️ ,1
0.064,0.748,0.188,0.7003,129,The trade-in value was horrible for the s22 ultra so I'll just wait m I do like the upgrade it features like the better camera and allegedly longer battery life. Not to mention the less curves are appealing. And I make commission from the sales of these from SAMSUNG.,1
0.0,0.605,0.395,0.9018,130,After watching the samples there are some great improvements to video and night time video! For now great job samsung!,1
0.0,0.857,0.143,0.3612,131,This ad makes me feel like I can afford the new Samsung Galaxy. Way to go Samsung.,1
0.185,0.615,0.2,0.0516,132,It's crazy how brighter the vieos are on the S23 ,0
0.0,1.0,0.0,0.0,133,"""Look at you with your fancy pen"" is something people actually say, the most realistic line in this video",0
0.0,0.703,0.297,0.5859,134,Wow. We all need to check this out real soon.,1
0.0,0.59,0.41,0.8762,135,Wow these phones are so great I can't wait least 10 more year's to afford one,1
0.072,0.727,0.2,0.8035,136,"Impressive introduction video, how about the battery ? Is that any improvement and not overheating easily? Not a sarcastic post, am a S series user from S2, S6, S9+ and now S21 Ultra, all functions are good just battery easily dropping and sometimes might overheat and need shutdown for cold down.",1
0.0,0.839,0.161,0.3182,137,"Sure will get S23 Ultra 
Can't wait the year 2123 to get it ",1
0.0,0.323,0.677,0.6369,138,Love this one.,1
0.0,0.556,0.444,0.802,139,Ayyyyy .... Super fun .... What a level of presentation... Mind blowing... ,1
0.0,1.0,0.0,0.0,140,Just preordered it... can't wait to have on my hand...,0
0.0,0.656,0.344,0.6369,141,"Watching it from my S23 Ultra, I love this phone ",1
0.0,1.0,0.0,0.0,142, I'm an s22 ultra user now this is my next beast ,0
0.0,0.769,0.231,0.6369,143,S23 ultra - the best smartphone in the world. Samsung will rule year 2023 with S23 ,1
0.0,0.932,0.068,0.4404,144,"The ultra needs to have a 2TB variant while the the S+ should have a 1TB variant since SD cards have been removed, just hope they make the larger storage options much cheaper to make up for the removal of the SD cards.",1
0.178,0.472,0.35,0.6124,145,Happy with the introduction  but sad that I cannot by such an expensive phone I love ,1
0.0,0.834,0.166,0.4574,146,I just got the Samsung S22 in December and now the S23 Ultra is out! Looks interesting,1
0.0,0.384,0.616,0.8412,147,AWESOME. I already bought two phones . So good,1
0.0,0.809,0.191,0.3818,148,"Now we feel the real innovation, Galaxy S23 series feels the power",1
0.0,0.373,0.627,0.9648,149,"Congratulations to the World 
Here is another greatest creation from Samsung 
Best wishes for you my love Samsung ",1
0.0,0.672,0.328,0.5994,150,Watching this in my S10+ and loving this device.,1
0.114,0.763,0.123,0.0516,151,"I think the one problem is
that they should improve battery life when caching lots of datas and using max power",0
0.0,0.577,0.423,0.765,152,Same like Samsung S22 Ultra with some modification.. Awesome it is ,1
0.401,0.599,0.0,-0.5191,153,Samsung never disappoints.... Stunning phone again!!!!!,-1
0.0,0.698,0.302,0.8255,154,"Let's take a moment to appreciate samsung for not turning off comments like apple always does 

I've really started to enjoy their personality more.",1
0.0,1.0,0.0,0.0,155,Finally watching this in my new s23 ultra.,0
0.0,0.755,0.245,0.6744,156,Still sticking with my S20 Ultra for another two years or so. But looks good!,1
0.0,0.785,0.215,0.7501,157,Would really like to see Samsung Galaxy go back to the S6 Active / metal or even renewed plastic designs for the back plate. Guess I'll just have to keep wishing.,1
0.348,0.473,0.18,-0.4168,158,"Okay!!!
This was freaking 'Epitome of Epicosity'.",-1
0.0,0.439,0.561,0.7506,159,Amazing Samsung innovation beyond anyone else ..,1
0.0,0.496,0.504,0.9215,160,"This phone is awesome, still discovering features as just got it today. Have fun creating fun contents!",1
0.0,1.0,0.0,0.0,161,Just taken pre order for S23 Ultra 512 GB RED and can't wait to hand's onnnn ,0
0.107,0.794,0.099,0.075,162,Just wanna say.. My heart goes to the entire community for Amazons LPA33X building up something which is worth it for everyone. This is so smart by them to launch it to shatter the doubts and fears of the common folk which shouldn't even exist to begin with. Everyone knows the state of inflation and recession now and the way out is already in progress. Now it's just about catching the big fish,0
0.0,0.513,0.487,0.8225,163,"S22 was already amazing
this is also Gonna be Amazing.",1
0.0,1.0,0.0,0.0,164,Its incredible.,0
0.0,0.523,0.477,0.807,165,Watching this with my S23 Ultra lol love this phone!,1
0.0,1.0,0.0,0.0,166,"Still using my Note 9, but I might finally upgrade ",0
0.0,0.745,0.255,0.34,167,I’m excited for this year’s over the horizon,1
0.0,0.328,0.672,0.6249,168,This is a masterpiece,1
0.042,0.753,0.204,0.8191,169,It's pretty much the same as Samsung Galaxy S22. Not much of a huge difference and upgrade.Except for it's camera more powerful and bit more extra features. Otherwise both the series and model are pretty much similar. S22 and S23.,1
0.0,0.494,0.506,0.6249,170,S23 Ultra is awesome man ️,1
0.0,0.679,0.321,0.7955,171,"Probably one of the best smartphone trailers EVER!, the S23 is going to be huge this year!",1
0.0,0.725,0.275,0.4664,172,I haven't been this excited for a new phone in a while!,1
0.0,0.328,0.672,0.6249,173,Great can't wait ,1
0.0,0.782,0.218,0.636,174,"I loved this trailer! Just because of this commercial, I gotta change my iphone and buy a s23 ultra",1
0.574,0.426,0.0,-0.4019,175,THIS IS INSANE ,-1
0.0,0.735,0.265,0.3818,176,I want a mini version of ultra next year. Please make this possible SAMSUNG.,1
0.0,0.909,0.091,0.2023,177,My s20 ultra still runs fine. I can wait a couple more years until I pick this up for cheap. Says a lot.,1
0.0,0.693,0.307,0.7351,178,If get the chance to buy I still go with S21 ultra model I love it's designed & colour.,1
0.0,0.874,0.126,0.3182,179,"I've been a constant fan of only one thing, Galaxy series.

Right form Samsung S3, Designed for Humans.",1
0.61,0.39,0.0,-0.5719,180,it is EPIC no doubt,-1
0.0,0.588,0.412,0.6369,181,Best intro of the year I'll say️,1
0.0,0.192,0.808,0.9274,182,"best of the best, I love it",1
0.0,0.588,0.412,0.6369,183,I love it S23 with one ui 5.1 ️,1
0.0,0.661,0.339,0.9468,184,"You know what i love about this ad, it was the perfect blend of functional features with storytelling. Not too over the top, not to sensational, as android people we love performance and you guys delivered. Thank you",1
0.0,0.192,0.808,0.6369,185,I love it. ,1
0.0,0.839,0.161,0.4003,186,"I'm excited to get my brand new Samsung Galaxy S23 Ultra on July, 15, 2023!",1
0.0,0.89,0.11,0.2714,187,S22ult is a BOOM last year so many ppl expecting much for this! will be there any significant upgrade..?,1
0.046,0.711,0.243,0.8555,188,"If samsung is following apple with no proper design and price update, I think I've made the good decision to pick pixel 7 pro. Google as a holistic has got all in one with good design and good configuration and good price.",1
0.0,1.0,0.0,0.0,189,Such detailing is mind supernova-ing,0
0.0,1.0,0.0,0.0,190,I can't wait for the s23 ultra and the s23 ultra,0
0.0,0.621,0.379,0.6705,191,"Even as an apple fan i gotta admit,the trailer is pretty epic",1
0.245,0.625,0.13,-0.296,192,"I never seen a phone or advertising like this before in my life
No doubt about samsung ",-1
0.0,0.543,0.457,0.6369,193,That's an EPIC commercial..... Love s23 ,1
0.0,0.357,0.643,0.802,194,I wish I could purchase this amazing mobile,1
0.0,0.774,0.226,0.6892,195,Another great work for Samsung!! Watching this in my s22 ultra so I root for s24 or s25,1
0.0,1.0,0.0,0.0,196,The legend is back ️️️️️,0
0.0,0.447,0.553,0.7346,197,wow they made this really well tbh,1
0.0,1.0,0.0,0.0,198,got s23 ultra 4 days ago and watching this on it ,0
0.0,1.0,0.0,0.0,199,"Pre-ordered, purchased, can't wait till 2-17-23! In lavender of course!",0
0.0,0.494,0.506,0.8819,200,So awesome  I’m an apple loyalist but il love to have this phone,1
0.0,1.0,0.0,0.0,201,Ordered just now ,0
0.0,0.333,0.667,0.25,202,Dream one️‍,1
0.0,0.582,0.418,0.7845,203,Okay. Must admit this is the best smartphone commercial I have seen in recent times.,1
0.0,0.389,0.611,0.8567,204,"Nightogotophy in space, I like how innovative is that :D",1
0.0,0.754,0.246,0.5563,205,Samsung's introduction seems more fun and reliable than other mobile company does.,1
0.036,0.877,0.087,0.3071,206,"Switched from the iphone 14 pro max to s23 ultra, im loving it, one issue, when i take pictures on the 200 mega pixel camera and take pictures, it turns out fine, but after the ai fixes it, it turns blurry, any reason?",1
0.0,1.0,0.0,0.0,207,this what perfectnesses really are!,0
0.0,1.0,0.0,0.0,208,"That's it, I'll keep my s22 ultra and wait for the s24 ultra!",0
0.078,0.584,0.338,0.869,209,"I don't know why I laugh about this commercial. HAHA. This is fantastic! Well, I look forward buying this thing or S22 Ultra since there is only slight difference haha",1
0.0,1.0,0.0,0.0,210,The real Beast ,0
0.054,0.773,0.173,0.7311,211,I wish people would see that iPhones are just iPods that can call and text but that Samsung are computers that can call and text. Massive difference between the two. No limitations what so ever with Samsung it's truly like carrying around a really small laptop.,1
0.0,0.682,0.318,0.4215,212,"Nice work, Samsung. I'm getting it tomorrow.",1
0.0,1.0,0.0,0.0,213,Absolutely  epic ....King ,0
